log_id,timestamp,shipment_id,event,driver_id,driver_name,location,zone,notes
LOG000265,2026-08-31 20:18,SHP00029,Returned to Hub,D001,Ravi Kumar,Pune,West,
LOG000266,2026-08-31 20:18,SHP00117,Delivered,D001,Ravi Kumar,Hyderabad,East,Traffic delay
LOG000267,2026-08-30 20:18,SHP00160,Delivery Failed,D006,Kavita Reddy,Kolkata,South,Customer not available
LOG000268,2026-08-30 20:18,SHP00199,Delivered,D006,Kavita Reddy,Chennai,North,Wrong address
LOG000269,2026-08-29 20:18,SHP00019,Out for Delivery,D002,Suresh Patel,Chennai,West,Customer not available
LOG000270,2026-08-30 20:18,SHP00191,Delivered,D005,Deepak Singh,Chennai,East,Wrong address
LOG000271,2026-08-29 20:18,SHP00194,Out for Delivery,D006,Kavita Reddy,Kolkata,Central,Wrong address
LOG000272,2026-08-31 20:18,SHP00191,Picked Up,D002,Suresh Patel,Chennai,West,Customer not available
LOG000273,2026-08-29 20:18,SHP00174,Delivery Failed,D001,Ravi Kumar,Mumbai,West,Wrong address
LOG000274,2026-08-29 20:18,SHP00143,Delivery Failed,D002,Suresh Patel,Mumbai,West,
LOG000275,2026-08-29 20:18,SHP00159,Picked Up,D006,Kavita Reddy,Pune,South,
LOG000276,2026-08-29 20:18,SHP00105,Delivery Failed,D004,Priya Sharma,Mumbai,South,Wrong address
LOG000277,2026-08-29 20:18,SHP00078,Picked Up,D006,Kavita Reddy,Mumbai,South,Wrong address
LOG000278,2026-08-29 20:18,SHP00080,In Transit,D003,Anand Verma,Delhi,Central,Customer not available
LOG000279,2026-08-31 20:18,SHP00005,Picked Up,D006,Kavita Reddy,Bangalore,West,Customer not available
LOG000280,2026-08-31 20:18,SHP00071,Delivery Failed,D004,Priya Sharma,Delhi,North,
LOG000281,2026-08-30 20:18,SHP00151,In Transit,D004,Priya Sharma,Pune,Central,Traffic delay
LOG000282,2026-08-31 20:18,SHP00156,Delivery Failed,D003,Anand Verma,Chennai,North,Traffic delay
LOG000283,2026-08-31 20:18,SHP00129,Out for Delivery,D005,Deepak Singh,Hyderabad,West,Traffic delay
LOG000284,2026-08-30 20:18,SHP00101,Delivered,D002,Suresh Patel,Bangalore,South,Traffic delay
LOG000285,2026-08-30 20:18,SHP00127,Picked Up,D004,Priya Sharma,Kolkata,Central,
LOG000286,2026-08-31 20:18,SHP00177,Out for Delivery,D001,Ravi Kumar,Mumbai,Central,Wrong address
LOG000287,2026-08-29 20:18,SHP00011,Delivery Failed,D006,Kavita Reddy,Mumbai,East,Traffic delay
LOG000288,2026-08-30 20:18,SHP00063,Picked Up,D003,Anand Verma,Kolkata,Central,
LOG000289,2026-08-31 20:18,SHP00064,Out for Delivery,D004,Priya Sharma,Pune,South,Customer not available
LOG000290,2026-08-31 20:18,SHP00023,In Transit,D003,Anand Verma,Mumbai,Central,
LOG000291,2026-08-31 20:18,SHP00169,Returned to Hub,D003,Anand Verma,Delhi,South,Customer not available
LOG000292,2026-08-30 20:18,SHP00048,Returned to Hub,D002,Suresh Patel,Kolkata,Central,Traffic delay
LOG000293,2026-08-29 20:18,SHP00042,Delivered,D006,Kavita Reddy,Delhi,South,
LOG000294,2026-08-31 20:18,SHP00004,Out for Delivery,D005,Deepak Singh,Hyderabad,East,Traffic delay
LOG000295,2026-08-29 20:18,SHP00151,Delivered,D005,Deepak Singh,Bangalore,South,
LOG000296,2026-08-31 20:18,SHP00048,Returned to Hub,D005,Deepak Singh,Chennai,Central,
LOG000297,2026-08-29 20:18,SHP00041,Delivery Failed,D002,Suresh Patel,Mumbai,North,Customer not available
LOG000298,2026-08-31 20:18,SHP00146,In Transit,D001,Ravi Kumar,Delhi,Central,Traffic delay
LOG000299,2026-08-29 20:18,SHP00104,Returned to Hub,D004,Priya Sharma,Bangalore,West,
LOG000300,2026-08-29 20:18,SHP00065,Picked Up,D005,Deepak Singh,Delhi,West,
